Class,Method,Changed Type,Result,Confirmed In V29,Confirmed In V31,Comment,Confirmed In V32
org.apache.commons.io.FileUtils,"boolean contentEquals(java.io.File,java.io.File)",preConditions,Correct,Correct,"Correct, LimitedCondition",,
org.apache.commons.io.FileUtils,java.io.File[] toFiles(java.net.URL[]),preConditions,Correct,Correct,"Correct, LimitedCondition",,
org.apache.commons.io.file.PathUtils,"boolean fileContentEquals(java.nio.file.Path,java.nio.file.Path,java.nio.file.LinkOption[],java.nio.file.OpenOption[])",preConditions,Correct,Correct,"LimitedCondition, Unknown",还存在路径冲突，是否应该纳入统计？,Solved
org.apache.commons.io.filefilter.FileFilterUtils,"java.util.List filterList(org.apache.commons.io.filefilter.IOFileFilter,java.io.File[])>",preConditions,Correct,Correct,"Correct, LimitedCondition",,
org.apache.commons.io.ByteOrderMark,"void <init>(java.lang.String,int[])",preConditions,Correct,Correct,Correct,,
org.apache.commons.io.filefilter.MagicNumberFileFilter,"void <init>(java.lang.String,long)",preConditions,Correct,Correct,Correct,,
org.apache.commons.io.input.SwappedDataInputStream,"void readFully(byte[],int,int)",preConditions,Correct,Correct,"Correct, LimitedCondition",,
org.apache.commons.io.input.UnsynchronizedByteArrayInputStream,"void <init>(byte[],int,int)",preConditions,Correct,Correct,Correct,,
org.apache.commons.io.input.BOMInputStream,"void <init>(java.io.InputStream,boolean,org.apache.commons.io.ByteOrderMark[])",preConditions,Correct,Correct,Correct,,
org.apache.commons.io.FileUtils,"void moveDirectory(java.io.File,java.io.File)>",preConditions,Correct,Correct,Correct,,
org.apache.commons.io.FileUtils,void forceDelete(java.io.File),message,Correct,Correct,Correct,,
org.apache.commons.io.FileUtils,"void moveDirectoryToDirectory(java.io.File,java.io.File,boolean)",message,Wrong,Not Exist,Wrong,,
org.apache.commons.io.IOUtils,"byte[] toByteArray(java.io.InputStream,int)",message,Correct,Correct,Correct,,
org.apache.commons.io.input.buffer.CircularBufferInputStream,"void <init>(java.io.InputStream,int)",message,Correct,Correct,Correct,,
org.apache.commons.io.input.SwappedDataInputStream,java.lang.String readUTF(),message,Correct,Correct,Correct,,
org.apache.commons.io.input.buffer.CircularByteBuffer,"void add(byte[],int,int)",message,Correct,Correct,Correct,,
org.apache.commons.io.input.buffer.CircularByteBuffer,"void read(byte[],int,int)",message,Correct,Correct,Correct,,
org.apache.commons.io.input.NullReader,void reset(),message,Correct,Correct,Correct,,
org.apache.commons.io.input.ReaderInputStream,"int read(byte[],int,int)",message,Correct,Correct,Correct,,
org.apache.commons.io.filefilter.WildcardFilter,void <init>(java.lang.String),message,Correct,Correct,Correct,,
org.apache.commons.io.FileUtils,java.lang.String byteCountToDisplaySize(java.math.BigInteger),added_exception,Correct,Correct,Correct,,
org.apache.commons.io.FileUtils,"void moveDirectoryToDirectory(java.io.File,java.io.File,boolean)",added_exception,Unmatched,"Correct, Not Exist",Correct,,
org.apache.commons.io.FileUtils,java.io.File[] toFiles(java.net.URL[]),added_exception,Unmatched,Correct,Correct,,
org.apache.commons.io.file.PathUtils,boolean isEmptyDirectory(java.nio.file.Path),added_exception,Correct,Correct,"Correct, Not Exist",,
org.apache.commons.io.FilenameUtils,java.lang.String getBaseName(java.lang.String),added_exception,Correct,Correct,Correct,,
org.apache.commons.io.output.FilterCollectionWriter,java.io.Writer append(java.lang.CharSequence),added_exception,Unmatched,Correct,Correct,,
org.apache.commons.io.output.FilterCollectionWriter,void write(int),added_exception,Unmatched,Correct,Correct,,
org.apache.commons.io.input.ReaderInputStream,"void <init>(java.io.Reader,java.nio.charset.CharsetEncoder,int)",added_exception,Correct,Correct,Correct,,
org.apache.commons.io.input.CountingInputStream,int resetCount(),added_exception,Correct,Correct,Correct,,
org.apache.commons.io.FileUtils,"void copyFile(java.io.File,java.io.File,boolean,java.nio.file.CopyOption[])",added_exception,Correct,Not Exist,Correct,,
org.apache.commons.io.FileUtils,"java.util.zip.Checksum checksum(java.io.File,java.util.zip.Checksum)",removed_exception,Correct,Correct,Correct,,
org.apache.commons.io.FileUtils,"boolean directoryContains(java.io.File,java.io.File)",removed_exception,Correct,Not Exist,Correct,,
org.apache.commons.io.FileUtils,"void moveDirectory(java.io.File,java.io.File)",removed_exception,Correct,,Correct,,
org.apache.commons.io.FileUtils,"java.io.FileOutputStream openOutputStream(java.io.File,boolean)",removed_exception,Unmatched,,Correct,,
org.apache.commons.io.filefilter.FileFilterUtils,java.util.List toList(org.apache.commons.io.filefilter.IOFileFilter[])>,removed_exception,Unmatched,,Correct,,
org.apache.commons.io.output.FilterCollectionWriter,"java.io.Writer append(java.lang.CharSequence,int,int)",removed_exception,Correct,,Correct,,
org.apache.commons.io.output.FilterCollectionWriter,void write(java.lang.String),removed_exception,Correct,,Correct,,
org.apache.commons.io.output.DeferredFileOutputStream,"void <init>(int,java.lang.String,java.lang.String,java.io.File)",removed_exception,Unmatched,,Correct,,
org.apache.commons.io.input.CharSequenceInputStream,"void <init>(java.lang.CharSequence,java.nio.charset.Charset,int)",removed_exception,Correct,,Correct,,
org.apache.commons.io.HexDump,"void dump(byte[],long,java.io.OutputStream,int)",removed_exception,Unmatched,,Correct,,
org.apache.commons.io.FileUtils,java.lang.String byteCountToDisplaySize(java.math.BigInteger),added_api,Correct,,,,
org.apache.commons.io.FileUtils,boolean isSymlink(java.io.File),added_api,Correct,,,,
org.apache.commons.io.FileUtils,java.io.File[] toFiles(java.net.URL[])>,added_api,Correct,,,,
org.apache.commons.io.file.PathUtils,java.nio.file.attribute.BasicFileAttributes readBasicFileAttributesUnchecked(java.nio.file.Path),added_api,Correct,,,,
org.apache.commons.io.FilenameUtils,int indexOfExtension(java.lang.String,added_api,Correct,,,,
org.apache.commons.io.IOUtils,"void skipFully(java.io.InputStream,long)",added_api,Correct,,,,
org.apache.commons.io.output.FilterCollectionWriter,void close(),added_api,Correct,,,,
org.apache.commons.io.ByteOrderMark,"void <init>(java.lang.String,int[]",added_api,Correct,,,,
org.apache.commons.io.filefilter.MagicNumberFileFilter,boolean accept(java.io.File),added_api,Correct,,,,
org.apache.commons.io.output.WriterOutputStream,void close(),added_api,Correct,,,,
org.apache.commons.io.input.buffer.CircularBufferInputStream,int read(byte[]),removed_api,Correct,,,,
org.apache.commons.io.output.FileWriterWithEncoding,void write(int),removed_api,Correct,,,,
org.apache.commons.io.output.FileWriterWithEncoding,void write(java.lang.String),removed_api,Correct,,,,
org.apache.commons.io.output.FileWriterWithEncoding,void close(),removed_api,Correct,,,,
org.apache.commons.io.file.AccumulatorPathVisitor,"java.nio.file.FileVisitResult visitFile(java.nio.file.Path,java.nio.file.attribute.BasicFileAttributes)",removed_api,Correct,,,,
org.apache.commons.io.Java7Support,java.io.File readSymbolicLink(java.io.File),removed_api,Correct,,,,
org.apache.commons.io.Java7Support,boolean isAtLeastJava7(),removed_api,Correct,,,,
org.apache.commons.io.output.ByteArrayOutputStream,java.lang.String toString(java.lang.String),removed_api,Correct,,,,
org.apache.commons.io.input.CountingInputStream,"int read(byte[],int,int)",removed_api,Correct,,,,
org.apache.commons.io.output.CountingOutputStream,void write(byte[]),removed_api,Correct,,,,
