Class,Method,Changed Type,Result,Confirmed In V31,Confirmed In V32
org.apache.commons.io.FileUtils,"void copyFile(java.io.File,java.io.File,boolean)",message,Correct,Correct,
org.apache.commons.io.FileUtils,"void copyFileToDirectory(java.io.File,java.io.File)",message,Correct,Correct,
org.apache.commons.io.FileUtils,"void moveDirectoryToDirectory(java.io.File,java.io.File,boolean)",message,Correct,Correct,
org.apache.commons.io.input.buffer.CircularByteBuffer,"boolean peek(byte[],int,int)",message,Correct,Correct,
org.apache.commons.io.input.buffer.CircularByteBuffer,"void read(byte[],int,int)",message,Correct,Correct,
org.apache.commons.io.input.NullInputStream,void mark(int),message,Correct,Correct,
org.apache.commons.io.LineIterator,void remove(),message,Correct,Correct,
org.apache.commons.io.input.buffer.CircularBufferInputStream,"void <init>(java.io.InputStream,int)",message,Correct,Correct,
org.apache.commons.io.filefilter.WildcardFilter,void <init>(java.lang.String),message,Correct,Correct,
org.apache.commons.io.ByteOrderParser,java.nio.ByteOrder parseByteOrder(java.lang.String),message,Correct,Correct,
org.apache.commons.io.FileUtils,"void copyFile(java.io.File,java.io.File,boolean)",preCondition,Correct,"Correct, inter-Wrong",
org.apache.commons.io.FileUtils,void forceMkdir(java.io.File),preCondition,Correct,"Correct, inter-Wrong",
org.apache.commons.io.FileUtils,"void moveDirectoryToDirectory(java.io.File,java.io.File,boolean)",preCondition,Correct,Wrong,Solved
org.apache.commons.io.FileUtils,void touch(java.io.File),preCondition,Wrong,"Correct, Not Exist",
org.apache.commons.io.file.PathUtils,"boolean fileContentEquals(java.nio.file.Path,java.nio.file.Path,java.nio.file.LinkOption[],java.nio.file.OpenOption[])",preCondition,Correct,"LimitedCondition, Wrong",Solved
org.apache.commons.io.output.LockableFileWriter,"void <init>(java.io.File,java.nio.charset.Charset,boolean,java.lang.String)",preCondition,NeedCheck,"Correct, inter-Wrong",
org.apache.commons.io.input.SwappedDataInputStream,"void readFully(byte[],int,int)",preCondition,Correct,"Correct, LimitedCondition",
org.apache.commons.io.FileSystem,"java.lang.String toLegalFileName(java.lang.String,char)",preCondition,Correct,Correct,
org.apache.commons.io.FileUtils,void forceDelete(java.io.File),preCondition,Correct,"Correct, inter-Wrong",
org.apache.commons.io.FileUtils,"void moveDirectory(java.io.File,java.io.File)",preCondition,Correct,"Correct, inter-Wrong",
org.apache.commons.io.FileUtils,void cleanDirectory(java.io.File),added_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"void copyFile(java.io.File,java.io.File,boolean)",added_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"java.util.Collection listFiles(java.io.File,org.apache.commons.io.filefilter.IOFileFilter,org.apache.commons.io.filefilter.IOFileFilter)",added_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"void moveDirectoryToDirectory(java.io.File,java.io.File,boolean)",added_exceptions,Correct,Correct,
org.apache.commons.io.FilenameUtils,int indexOfExtension(java.lang.String),added_exceptions,Correct,Correct,
org.apache.commons.io.input.ReaderInputStream,"int read(byte[],int,int)",added_exceptions,Correct,Correct,
org.apache.commons.io.output.CountingOutputStream,int getCount(),added_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"void copyFile(java.io.File,java.io.File,boolean)",added_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"void copyFile(java.io.File,java.io.File,boolean,java.nio.file.CopyOption[])",added_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,java.io.File[] toFiles(java.net.URL[]),added_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"java.util.zip.Checksum checksum(java.io.File,java.util.zip.Checksum)",removed_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"boolean contentEquals(java.io.File,java.io.File)",removed_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"void copyDirectory(java.io.File,java.io.File,boolean)",removed_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"void copyFile(java.io.File,java.io.File,boolean,java.nio.file.CopyOption[])",removed_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"void copyFileToDirectory(java.io.File,java.io.File)",removed_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"void copyURLToFile(java.net.URL,java.io.File)",removed_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,void forceMkdir(java.io.File),removed_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"boolean isFileNewer(java.io.File,java.io.File)",removed_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"boolean isFileOlder(java.io.File,java.io.File)",removed_exceptions,Correct,Correct,
org.apache.commons.io.FileUtils,"void moveDirectory(java.io.File,java.io.File)",removed_exceptions,Correct,Correct,
